<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.23	13:00:00	108237	108345	107564	107661	509551	1672434	1
2022.06.23	14:00:00	107667	107860	107145	107392	542631	1851171	1
2022.06.23	15:00:00	107392	107575	107096	107306	408067	1370825	1
2022.06.23	16:00:00	107306	107688	107005	107575	431031	1529615	1
2022.06.23	17:00:00	107570	107575	106752	106752	245321	810194	1
2022.06.24	09:00:00	107613	108705	107597	108533	620630	1769795	1
2022.06.24	10:00:00	108527	108592	107139	107763	1036426	3353113	1
2022.06.24	11:00:00	107769	108732	107763	108156	893463	2845442	1
2022.06.24	12:00:00	108156	108334	107489	107543	509975	1623385	1
2022.06.24	13:00:00	107548	108043	107527	108027	346803	1080324	1
2022.06.24	14:00:00	108027	108167	107677	107715	389895	1244932	1
2022.06.24	15:00:00	107715	108226	107607	107763	474204	1575460	1
2022.06.24	16:00:00	107758	108232	107699	108167	345701	1170102	1
2022.06.24	17:00:00	108167	108318	107849	108258	220583	644087	1
2022.06.27	09:00:00	108796	109001	108388	108409	591731	1556277	1
2022.06.27	10:00:00	108404	109900	108339	109813	1384297	3923451	1
2022.06.27	11:00:00	109813	110561	109803	110545	818145	2539003	1
2022.06.27	12:00:00	110545	110621	109964	110023	430884	1396914	1
2022.06.27	13:00:00	110029	110432	109986	110303	382050	1261704	1
2022.06.27	14:00:00	110298	110341	110088	110233	351275	1177040	1
2022.06.27	15:00:00	110238	110298	110039	110125	358668	1234424	1
2022.06.27	16:00:00	110125	110481	110002	110341	438335	1587752	1
2022.06.27	17:00:00	110341	110782	110228	110782	223730	733072	1
2022.06.28	09:00:00	111282	111756	110884	111212	832155	2437332	1
2022.06.28	10:00:00	111212	111804	111040	111589	1243692	3562234	1
2022.06.28	11:00:00	111589	111750	110421	110868	876068	2709690	1
2022.06.28	12:00:00	110863	111013	109964	109969	618719	1979444	1
2022.06.28	13:00:00	109969	110271	109873	110039	437414	1454575	1
2022.06.28	14:00:00	110045	110082	109469	109657	488861	1634188	1
2022.06.28	15:00:00	109657	109824	109195	109663	501937	1710433	1
2022.06.28	16:00:00	109657	109948	109458	109776	432669	1430905	1
2022.06.28	17:00:00	109776	110077	109770	109883	200099	622979	1
2022.06.29	09:00:00	109894	111046	109797	110217	901244	2544245	1
2022.06.29	10:00:00	110217	110653	109469	109926	1310924	3978991	1
2022.06.29	11:00:00	109932	110093	109087	109141	1000746	3190468	1
2022.06.29	12:00:00	109146	109205	108662	108856	567741	1860788	1
2022.06.29	13:00:00	108850	108899	108409	108646	462104	1573029	1
2022.06.29	14:00:00	108651	109012	108328	109001	423399	1507432	1
2022.06.29	15:00:00	108996	109248	108732	108834	460757	1663124	1
2022.06.29	16:00:00	108829	109071	108495	108689	428027	1524819	1
2022.06.29	17:00:00	108683	108856	108501	108850	217876	719098	1
2022.06.30	09:00:00	107693	107973	106768	106784	1041238	2557850	1
2022.06.30	10:00:00	106784	107446	106617	107306	1277166	3459886	1
2022.06.30	11:00:00	107301	107484	106671	107360	998837	2904103	1
2022.06.30	12:00:00	107360	107909	107220	107887	704397	2186107	1
2022.06.30	13:00:00	107882	108339	107699	108280	559483	1770302	1
